X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost,GlobalID
1366541.2354,5153202.1642,109092,YHA MT COOK,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"4 Kitchener Dr, Mount Cook National Park 7999, New Zealand",True,1,False,Unlimited,False,-43.73745,170.100913,AC,2020/05/01 00:00:00+00,1,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",True,{CC52A362-5C3F-4C8F-8D2D-2ECE92AD0336}
1186140.2023,4957354.9591,109093,YHA TE ANAU,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"29 Mokonui St, Te Anau 9600, New Zealand",True,2,False,Unlimited,False,-45.4147023,167.710591,AC,2020/05/01 00:00:00+00,1,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",True,{61A3D3C5-DDBB-49EC-9F55-2E298463A968}
1758984.8781,5916769.1139,109094,NZ BLOOD SERVICE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"71 Great South Road, Epsom, Auckland 1051",False,4,False,Unlimited,False,-36.8816643029201,174.783985143939,AC,2019/10/12 00:00:00+00,4,"{AC, 44 kW, Type 2 Socketed, Status: Operative, Count:4}",False,{39F090D2-BC45-4C6C-9B54-1DD02594E8D1}
1784244.7242,5863764.2899,109095,Hampton Downs,WEL Networks Ltd,WEL Networks Ltd,"20 Hampton Downs Road, Hampton Downs",True,2,False,Unlimited,True,-37.3545575081454,175.080300240821,DC,2018/01/01 00:00:00+00,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,{BF0281BD-25D2-43EF-9923-1864A6371C5B}
1795854.6037,5821625.9065,109096,Maui Street,WEL Networks Ltd,WEL Networks Ltd,"114 Maui St, Pukete",True,2,False,Unlimited,False,-37.7317137166904,175.222543851019,DC,2018/01/01 00:00:00+00,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,{C9C22250-7ACD-406E-B00C-E86B29CD6124}
1802446.4096,5816265.1687,109097,Claudelands,WEL Networks Ltd,WEL Networks Ltd,"160 Peachgrove Road, Hamilton East",True,3,False,Unlimited,False,-37.7785588433362,175.298786948482,Mixed,2018/01/01 00:00:00+00,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,{C2FA3AEA-A894-4F5A-8016-9D83B42A6664}
1804444.2343,5805314.9952,109098,Mystery Creek,WEL Networks Ltd,WEL Networks Ltd,"153 Ingram Road, Waitomo Fuel,  Mystery Creek",True,2,False,Unlimited,False,-37.876728596303,175.324548424172,DC,2018/01/01 00:00:00+00,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,{B8B90E2E-54A5-4D61-9637-1EFA67C9F6DB}
1790627.8067,5840290.9699,109099,Huntly,WEL Networks Ltd,WEL Networks Ltd,"20 Tumate Mahuta Drive, Huntly",True,3,False,Unlimited,False,-37.5647004263661,175.158396850283,Mixed,2018/01/01 00:00:00+00,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:1}",False,{090F2DC4-789B-4EF9-BDA0-167957D68B3F}
1788279.2473,5857234.3983,109100,Te Kauwhata,WEL Networks Ltd,WEL Networks Ltd,"16 Wayside Road, Te Kauwhata",True,2,False,Unlimited,False,-37.4125665624,175.127487397762,DC,2018/01/01 00:00:00+00,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,{A15CE6BB-F578-4A92-8AE7-24DA674ACC17}
1800352.3397,5821493.6165,109101,St James,WEL Networks Ltd,WEL Networks Ltd,"23 Horsham Downs Road, Rototuna",True,3,False,Unlimited,False,-37.7319320139187,175.273583803848,Mixed,2018/01/01 00:00:00+00,5,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:2},{DC, 25 kW, CHAdeMO, Status: Operative, Count:2},{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:1}",False,{EDD3E8A0-5155-488F-88D2-F22B53BFB4F3}
1800878.0159,5815217.0934,109102,Caro Street,WEL Networks Ltd,WEL Networks Ltd,"4 Caro St, Hamilton",True,2,False,Unlimited,False,-37.7883439028825,175.28128105207,DC,2018/01/01 00:00:00+00,3,"{DC, 50 kW, Type 2 Tethered, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,{EA5BDA7C-ACF3-4BFD-BC96-906E975174DF}
